Nom commun;Genre;Espèce;Origine;Taille cm;pH;Dureté;T°C;Volume en spécifique;Mode de maintenance;Comportement global;Reproduction;Mode de reproduction;Nourriture;Particularités;Photo
Spraying characin;Copella;arnoldi;Amazone;8;acide;douce;26;100;Groupe de 5;Satisfaisant;Délicate;ovipares;proies vivantes;empty;Photo/AquapagnonLogo.jpg
Strigata (hachette);Carnegiella;strigata;Amazonie;5;acide;douce;25;100;Groupe de 5;Très bon;Très difficile;ovipares;omnivore;empty;Photo/AquapagnonLogo.jpg
Striped Anostomus;Anostomus;Anostomus;Amazonie;15;neutre;douce;24;200;Groupe de 5;Satisfaisant;Pas connue;ovipares;omnivore;empty;Photo/AquapagnonLogo.jpg
Tétra à bandes noire;Hyphessobrycon;scholzei;Amazonie;4;neutre;moyenne;25;100;Groupe de 5;Bon;empty;ovipares;omnivore;empty;Photo/AquapagnonLogo.jpg
Tétra arc-en-ciel;Nematobrycon;lacortei;Amazonie;5;acide;douce;26;80;Groupe de 5;Bon;Possible;ovipares;omnivore;empty;Photo/AquapagnonLogo.jpg
Tétra argenté;Gymnocorymbus;thayeri;Amazonie;5;acide;moyenne;24;100;Groupe de 5;Bon;empty;ovipares;omnivore;Dominante herbivore;Photo/AquapagnonLogo.jpg
Tetra aveugle;Anoptichthys;jordani;Mexique;8;acide;douce;23;80;Groupe de 5;Moyen;Possible;ovipares;omnivore;Une membrane recouvre ses yeux ce qui le rend aveugle;Photo/AquapagnonLogo.jpg
Tétra bassam;Hemigrammus;marginatus;Colombie;7;neutre;moyenne;24;100;Groupe de 5;Bon;empty;ovipares;omnivore;Dominante herbivore;Photo/AquapagnonLogo.jpg
Tétra bleu du Pérou;Boehlkea;fredcochui;Amazonie;5;neutre;moyenne;25;100;Groupe de 5;Bon;empty;ovipares;omnivore;empty;Photo/AquapagnonLogo.jpg
Tétra brillant;Moenkhausia;pittieri;Amazonie;7;neutre;douce;26;200;Groupe de 5;Bon;empty;ovipares;omnivore;Dominante carnivore;Photo/AquapagnonLogo.jpg
Tétra cardinal;Paracheirodon;axelrodi;Amazonie;5;acide;douce;26;80;Groupe de 5;Bon;Délicate;ovipares;omnivore;empty;Photo/AquapagnonLogo.jpg
